id,screen_name,text,polarity,criterioPropio,
8.80E+17,@marco_caldon,"RT @AlvaroUribeVel: 4 El Mal ejemplo cunde: El Eln tiene mesa con el Gobierno en Quito y sigue asesinando, secuestrando y extorsionando… ",0,0,0
8.80E+17,@RNVinformativa,"Gobierno bolivariano atiende a familias afectadas por lluvias en Anzoátegui
https://t.co/4YpR4wPamz… https://t.co/0LbNKeJ9Mz",0,0,0
8.80E+17,@lalavalvil,"RT @ncv_Violeta: Urgente!! Localizan SIN VIDA a Salvador Adame #NoAlSilencio #NiUnoMas 
Otro Periodista➕ASESINADO EN GOBIERNO d Peña… ",1,0,1
8.80E+17,@hmaestroa,"@o_ollarves Son unos MALDITOS, estamos enfermos como sociedad y merecemos la mierda de gobierno que tenemos. #PobrePais #Venezuela #Maracay",0,0,0
8.80E+17,@OrtografiaReal,La anciana que avisó sobre el terremoto en Ecuador también mencionó los siguientes países de América: https://t.co/ATxV4Zd5Q7,1,1,0
8.80E+17,@GMTOTEO,RT @AbrazoMusical: #Ecuador fallecio en accidente de transito Kevin Jesus Zarraga Briceño Venezolano🇻🇪de 24 años. El cuerpo esta en un… ,1,1,0
8.80E+17,@urdahebert,RT @hastaeLgorro: Se rasgan las vestiduras hablando paja...y mira tú!!!!! @GegeRpz https://t.co/NofbDP7NkW,0,0,0
8.80E+17,@HomeroSalva1,RT @NTN24ve: MINUTO A MINUTO | En el sector San José de Maracay armaron barricadas contra el gobierno #26Jun… ,1,1,0
8.80E+17,@Vianey_Pizarro,"RT @BibiMonteroDR: La masacre d allende ocurrió en  gobierno de Calderón, quién no hizo nada por aclarar los hechos, según un estudio… ",1,1,0
8.80E+17,@sejoa456,RT @andreschola: #26Jun La gente en José Félix Ribas protesta por incumpliento en la entrega de bolsas Clap. Otro guiso de este gobierno.,1,-1,1
8.80E+17,@FRANKLIN_JOSE,RT @CaraotaDigital: #Consecomercio: El gobierno se dedica a imprimir billetes para cubrir los errores cometidos https://t.co/CNk5mOBkV9 htt…,0,0,0
8.80E+17,@Emancipador11,RT @Lechuguinos_com: ¡FARISEO! Monseñor Padrón insta al gobierno a recapacitar sobre muertes que la oposición ha provocado* #Lechuguinos ht…,0,0,0
8.80E+17,@JPMessiga,"@SergioMassa @RLavagna @1PaisUnido Que facil es decir lo que la gente quiere escuchar. Si ustedes fuesen gobierno,… https://t.co/JelXEi1TqH",1,-1,1
8.80E+17,@OscarGarcia100,"Ola de violencia es desatada por represión del gobierno, protestar pacíficamente es constitucional, diálogo nunca f… https://t.co/gvRiEkwT2m",0,-1,1
8.80E+17,@koltran11,RT @AlbertoRT51: ÚLTIMA HORA | Los enfrentamientos en La Urbina: Esbirros del Gobierno arremeten con furia contra edificios y vehícu… ,0,0,0
8.80E+17,@votabien,.@sllucchese denunció la nueva persecución  que recibió por parte del Gobierno – https://t.co/RTpE3AgDUT #ATodoMomento,1,1,0
8.80E+17,@prensapasso,RT @SergioMassa: .@1PaisUnido con cuadros de gobierno que piensen en brindar soluciones inmediatas a los problemas de los argentinos. https…,0,0,0
8.80E+17,@FFQuakeProject,Piden apoyo al gobierno en Horcón tras perder alarma de #tsunami y un centro de madres por las marejadas https://t.co/taYKTbcbFi a,1,1,0
8.80E+17,@orlymj,RT @AlbertoRT51: ÚLTIMA HORA | Los enfrentamientos en La Urbina: Esbirros del Gobierno arremeten con furia contra edificios y vehícu… ,0,0,0
8.80E+17,@Santi4238,El periodismo debe ser critico del poder. El presidente es macri. La caricatura es de CFK. Y la hacen con la banda.… https://t.co/cd8r7kvUgt,0,0,0
8.80E+17,@MargaritaBuyon2,RT @richardmardo: Otro joven nacido en este gobierno que por defender la libertad que nunca conoció le dispararon a mansalva en Turme… ,1,0,1
8.80E+17,@bonitocuelgueok,"Beldyk en Bonito: ""En ISIS la clave es el financiamiento. Lo logra a partir del dominio y gobierno de un territorio"" https://t.co/N8yxsg89Kn",1,0,1
8.80E+17,@mpierina,"RT @Dereckb: A punto de ser robado hace minutos, pero seguro fue una sensación mía; de eso sí que no se ocupa este gobierno sino de destrui…",0,0,0
8.80E+17,@FrenteFantasma,Piden apoyo al gobierno en Horcón tras perder alarma de #tsunami y un centro de madres por las marejadas https://t.co/z0UkwLyH4O a,1,-1,1
8.80E+17,@abdel_gabriel,RT @AlbertoRT51: ÚLTIMA HORA | Los enfrentamientos en La Urbina: Esbirros del Gobierno arremeten con furia contra edificios y vehícu… ,0,-1,1
8.80E+17,@LaRegionTula,"-Realiza el gobierno municipal de Tula una intensa campaña para combatir la plaga del heno motita en los árboles
https://t.co/AVB8yMXANL",1,-1,1
8.80E+17,@fontedevidatxx,PROGRAMA TOQUE DE BOLA INFORMA:,1,1,0
8.80E+17,@ATodoMomento_,.@sllucchese denunció la nueva persecución  que recibió por parte del Gobierno – https://t.co/nTiESat8Mq #ATodoMomento,1,1,0
8.80E+17,@matasiete67,RT @AlbertoRT51: ÚLTIMA HORA | Los enfrentamientos en La Urbina: Esbirros del Gobierno arremeten con furia contra edificios y vehícu… ,0,0,0
8.80E+17,@superescualid,RT @LadyGhostVzla: #TrancamosPorVzla en la protesta de la Av. Bolívar de #PuertoLaCruz  opositores fueron atacados y heridos por perso… ,1,1,0
8.80E+17,@emiliolanzilli,"RT @elcitizen: Quién iba a pensar q un supuesto gobierno de izquierda iba a terminar como gorilas, reprimiendo y con las alforjas repletas…",0,0,0
8.80E+17,@shaggyfarache,RT @pedrogarciao: Tienen mas decencia que el Gobierno y sus juristas del horror.  https://t.co/e8dpEDcTyL,0,0,0
8.80E+17,@arguello611,RT @AlbertoRT51: ÚLTIMA HORA | Los enfrentamientos en La Urbina: Esbirros del Gobierno arremeten con furia contra edificios y vehícu… ,0,0,0
8.80E+17,@ecuabot,RT @undiosuniversal: Realmente existe la suerte? https://t.co/ktuVkoeSY6 #Dios #Venezuela #USA #Colombia #Brasil #Panama #Bolivia… ,1,1,0
8.80E+17,@dralambrito,RT @willycochez: No hay GNB pa’ tanta gente… trancazo en rechazo al gobierno de Maduro un éxito a lo largo y ancho de Venezuela https://t.c…,0,0,0
8.80E+17,@Angerar,"RT @fundazulbogota: Exalcalde, en su programa de gobierno (pag.12, https://t.co/EEK8QjWtwA) no decia nada de tranvias,pero si varias tr… ",0,0,0
8.80E+17,@infocancha,#FútbolEC  ¡¡ES NOTICIA!! @LDU_Oficial confirma fichaje del zaguero brasileño #LucasdeLima con paso por Portugal ; https://t.co/u0KWyNosyE,0,0,0
8.80E+17,@Justiciaciega70,Mi gente sigan luchando falta menos. @trafficARAGUA https://t.co/8Lo4yOJt1K,1,1,0
8.80E+17,@Lucharepa2016,"RT @ServicioPubliVE: Vía @mhueck12  24-06, falleció en Ecuador un Vzlano, Kevin Zarraga, 24 a. Se necesita la flia.Luis Mendoza,Tte. Bomber…",1,1,0
8.80E+17,@jimmyalzuru,@Licda_Piccinini Dame inf de los boletos en bs para Ecuador para dos menores para el 20 de julio y retorno fines de… https://t.co/OFRppQ5uXV,1,1,0
8.80E+17,@rchucho26,"RT @BogotaPenalosa: @petrogustavo 2. En su Plan de Gobierno estaba la 7a, la Av. Boyacá, la Av. 68 y 1ero de Mayo. ¡¡No se hicieron!!",1,1,0
8.80E+17,@aitor24584,RT @AC_isback: Pueblo se declarará en insurrección popular si se viera afectado el Gobierno Bolivariano https://t.co/BSAAORW1hV  https://t.…,0,0,0
8.80E+17,@magneritcs,@elcitizen @CACIQUEMAYOR Vamos Venezuela ya es hora que consigamos la libertad este gobierno represor asesino y cor… https://t.co/oIzq7yG3UP,0,0,0
8.80E+17,@andresriivas,"Mis ccaidas mas fuertes:
Cuando me rompí la cabeza.
Cuando me quebré el brazo.
Cuando cai en sus mentiras :'(",0,-1,1
8.80E+17,@valadez14,RT @r3dmx: El informe #GobiernoEspía contiene varios hechos que son irrefutables por el gobierno federal: https://t.co/WLwYoZaLlM,1,1,0
8.80E+17,@MolinaRobertoMx,"RT @Viral_Noticias: “Gobierno del PRI, responsable del incremento a la inflación que empobrece al pueblo”: @CarolAntonioA… ",1,0,1
8.80E+17,@maguitaresiste,RT @AlbertoRT51: ÚLTIMA HORA | Los enfrentamientos en La Urbina: Esbirros del Gobierno arremeten con furia contra edificios y vehícu… ,0,0,0
8.80E+17,@MoisesCadenas,RT @AlbertoRT51: URGENTE | 9:00pm- Así se encuentra el Barrio San José en #Maracay: Manifestantes instalan barricadas: Rechazan gobi… ,1,-1,1
8.80E+17,@thamaraquijada,RT @AlbertoRT51: ÚLTIMA HORA | Los enfrentamientos en La Urbina: Esbirros del Gobierno arremeten con furia contra edificios y vehícu… ,0,0,0
8.80E+17,@YvetteHesse,"RT @ABarrancoCh: De 5.9 billones en que estaba cuando llegó el gobierno actual, la deuda pública total araña ya los 10. ?Alguien sabe en qu…",0,0,0
8.80E+17,@AJNATERAB,RT @ReporteYa: #26Jun #Petare Gente en José Félix Ribas protesta por incumplimiento en entrega de bolsas Clap. Otro guiso de este gobierno.…,1,-1,1
8.80E+17,@hoserafael1,RT @hoserafael1: @LETSREDSOX04 Con plena ley resorte el informador d las diez pm siempre c le salpica algo del gobierno jejejeje,0,0,0
8.80E+17,@leandrotango,"@Daviblanco Claro, pero ve que de esos resultados el gobierno ha perdido mucho más que la oposición y ello ha contr… https://t.co/lbkOGb5Qey",0,-1,1
8.80E+17,@marthamiss1955,RT @AlbertoRT51: ÚLTIMA HORA | Los enfrentamientos en La Urbina: Esbirros del Gobierno arremeten con furia contra edificios y vehícu… ,0,-1,1
8.80E+17,@ElisaTata,RT @AlbertoRT51: ÚLTIMA HORA | Los enfrentamientos en La Urbina: Esbirros del Gobierno arremeten con furia contra edificios y vehícu… ,0,-1,1
8.80E+17,@Viktori97297401,RT @ELBOMBOTULA: @gabrielsoglio hablar mal del gobierno anterior tiene sus beneficios,0,0,0
8.80E+17,@ChaconEvans,RT @noticiasmiami: ¡EN CUENTA REGRESIVA! Estados Unidos reconocería a eventual “Gobierno de Transición” en Venezuela -► https://t.co/drZiku…,1,-1,1
8.80E+17,@johnsilva19,"RT @evoespueblo: El gobierno de EEUU usa lucha antidroga para intervenir países, y no realiza ninguna acción por reducir el consumo de drog…",1,-1,1
8.80E+17,@aforastier,"RT @0bv10: es increible como ustedes se indignan tanto por todo y no porque nos quieren privatizar el clinicas, PRIVATIZACIONES EN GOBIERNO…",0,0,0
8.80E+17,@NellyMa22,"RT @alexvallenilla: Un ridículo Mario Silba pregunta qué pasaría en EEUU si protestan en base militar, no pregunta que pasa si gobierno pon…",0,0,0
8.80E+17,@macayela31,RT @isnardobravo: Maduro pide “insurrección popular constitucional” si afectan su integridad o su gobierno. Eso ya está pero para sacarlo d…,1,1,0
8.80E+17,@msalazar137,RT @AlbertoRT51: ÚLTIMA HORA | Los enfrentamientos en La Urbina: Esbirros del Gobierno arremeten con furia contra edificios y vehícu… ,0,0,0
8.80E+17,@carolavidalt,"RT @PableOstos: Los jóvenes emprendieron una caminata desde Ciudad #Bolívar,hasta #Caracas (640Km). Informa @diarioelvistazo que ya… ",1,1,0
8.80E+17,@elizabethmich10,RT @ivanariasduran: donde pones el dedo #SaltaLaPusNoMas https://t.co/AvI7CVXgsu,0,0,0
8.80E+17,@ga_vil,"RT @ExoSapiens: La agonía del campo mexicano https://t.co/w9L3pI1mHq eso  ""negociará"" el gobierno, prolongar dicha agonía con la continuida…",0,0,0
8.80E+17,@Albnick,"RT @Coculo: Fernanda Vallejos ""El gobierno de CFK fue transparente y la corrupción es un cuento de los medios"".
La autocrítica que pedíamos…",0,0,0
8.80E+17,@JustBelkiz,"RT @rafarafa_ve: @TITORODRIGUEZZ @hcapriles HDP del gobierno estan usando drones para mejorar la efectividad de la represion, direct… ",1,1,0
8.80E+17,@Marzia73138059,"RT @victoramaya: Entonces, Iris exculpó a Leopoldo y confiesa que el gobierno protegió por tres años a un ""asesino"". Calcula.",1,1,0
8.80E+17,@Oscaroasi,"RT @NTN24ve: MINUTO A MINUTO | @MariaCorinaYA informa de ataque de la Policía de Aragua a urbanización San Isidro, Maracay… ",0,0,0
8.80E+17,@ChileBicampeon,"Existen los fascistas comunistas? 🤦‍♂️😅
https://t.co/MTNzChZAI3",1,0,1
8.80E+17,@ariftzenere,"RT @pekersqthreads: zayn malik
- le encanta ir a protestar 
- odia el gobierno
- a todos les dice 'perro' 
- se cola en el transmilenio htt…",1,-1,1
8.80E+17,@gustavoveitia,RT @AlbertoRT51: ÚLTIMA HORA | Los enfrentamientos en La Urbina: Esbirros del Gobierno arremeten con furia contra edificios y vehícu… ,0,-1,1
8.80E+17,@RSerjeB,RT @andresportillo_: Mañana otro show de Gobierno/Farc sobre entrega de armas. Colombianos NO olvidamos las 900 caletas y dinero que tienen…,0,0,0
8.80E+17,@ldlbizok,"Canal 44: Ahora en la línea de #Perspectivas, conversamos con gonzalo7sanchez sobre Gobierno Abierto y el supuesto… https://t.co/3amwUiwdyg",1,1,0
8.80E+17,@mpierina,RT @AlbertoRT51: ÚLTIMA HORA | Los enfrentamientos en La Urbina: Esbirros del Gobierno arremeten con furia contra edificios y vehícu… ,0,0,0
8.80E+17,@jbescribano330,RT @ccalena13: Los enfrentamientos en La Urbina: Esbirros del Gobierno arremeten con furia contra edificios y vehículos https://t.co/NPVcMy…,0,0,0
8.80E+17,@scott_lycette,RT @LaDivinaDiva: La anarquía generalizada juega en favor del gobierno la protesta canalizada en favor de oposición. Los ingenuos cachicamo…,0,0,0
8.80E+17,@elviejomiguelc,"RT @JustBelkiz: @vetehugo @elviejomiguelc @VeneSysAlpha @margene2013 @EmarcQuinones @kike230 @OswaldoOrn 
ASÍ NOS LIMPIAREMOS EL TR… ",1,1,0
8.80E+17,@ekuekimbisa,RT @NoticiasVenezue: Rodríguez Torres presentará pruebas que demuestran vínculos del Gobierno con narcotráfico https://t.co/rqMKPyCHZF http…,1,-1,1
8.80E+17,@tinajita5,RT @EfectoCocuyo: Rodríguez Torres presentará pruebas que demuestran vínculos del Gobierno con narcotráfico https://t.co/RXI0AUYEyC https:/…,1,-1,1
8.80E+17,@amatosacurero,RT @NoticiasVenezue: Rodríguez Torres presentará pruebas que demuestran vínculos del Gobierno con narcotráfico https://t.co/rqMKPyCHZF http…,1,-1,1
8.80E+17,@beto_aguisa,"La corrupción es de los tres niveles de gobierno, al igual que la administración la factibilidad de la corrupción v… https://t.co/c5lu2TEB3d",0,0,0
8.80E+17,@BecerraLimon,"RT @AlbaAC: #TodaVidaVale, Las ONGS, decimos Alto a la cacería de perros, Gobierno de Toluca, asuman su responsabilidad,… ",0,0,0
8.80E+17,@mavisanguinetti,RT @NoticiasVenezue: Rodríguez Torres presentará pruebas que demuestran vínculos del Gobierno con narcotráfico https://t.co/rqMKPyCHZF http…,1,1,0
8.80E+17,@slchecolg,RT @ethally: #PaseDeLista10pm #NetaMeEstresaQué el gobierno siga sin encontrar respuestas del 98% de desaparecidos… ,0,0,0
8.80E+17,@CarlosHuerfan,"Alimentos
Toneladas de alimento vegetal
Toneladas de alimento animal
Toneladas de materia prima
Miles de miles de e… https://t.co/jKC1TIHD0P",1,-1,1
8.80E+17,@FcojSimancas,"RT @mcolozzal: Rondón no ha peleado, porque somos disciplinados, el gobierno nos contiene, pero dejen quieto quien ta'quieto 

 https://t.c…",0,0,0
8.80E+17,@maikelali2,RT @VZLAGUERREA: Enfrentamientos en La Urbina: Esbirros del Gobierno arremeten con furia contra edificios y vehículos #26Jun https://t.co/3…,0,0,0
8.80E+17,@Bestiometro,"RT @evoespueblo: El gobierno de EEUU usa lucha antidroga para intervenir países, y no realiza ninguna acción por reducir el consumo de drog…",1,-1,1
8.80E+17,@Vigon62,"RT @PableOstos: Los jóvenes emprendieron una caminata desde Ciudad #Bolívar,hasta #Caracas (640Km). Informa @diarioelvistazo que ya… ",1,-1,1
8.80E+17,@REML118,RT @AlbertoRT51: ÚLTIMA HORA | Los enfrentamientos en La Urbina: Esbirros del Gobierno arremeten con furia contra edificios y vehícu… ,0,0,0
8.80E+17,@cfuentealbaj,"RT @Sbarrientose: Prefiero A2 F.Kast: más q solo gestión, política nueva para arreglar los temas, no solo administrarlos… ",1,1,0
8.80E+17,@pirelaarevalo,RT @andreschola: #26Jun La gente en José Félix Ribas protesta por incumpliento en la entrega de bolsas Clap. Otro guiso de este gobierno.,1,1,0
8.80E+17,@Justiciaciega70,RT @AlbertoRT51: URGENTE | 9:00pm- Así se encuentra el Barrio San José en #Maracay: Manifestantes instalan barricadas: Rechazan gobi… ,1,1,0
8.80E+17,@JavierHAres,RT @chuchoalvarez: El partido de Gobierno de Uruguay está a favor de Maduro. Lamentable. https://t.co/EkSEFmc39L,0,0,0
8.80E+17,@tuecuadormagico,Ecuador #ecuador #turismo #haciendas https://t.co/wSWenyTieG,1,1,0
8.80E+17,@jav_riv,"RT @AlbaAC: #TodaVidaVale, Las ONGS, decimos Alto a la cacería de perros, Gobierno de Toluca, asuman su responsabilidad,… ",0,0,0
8.80E+17,@goleoEC,Club Deportivo River Ecuador extiende los contratos de #DamiánFrascarelli hasta el 2020 y #GonzaloValle hasta el... https://t.co/I3Q3qLR0UH,1,1,0
8.80E+17,@Juliusurda,@anitam2483 @vilma52 Y El ORANGUTÁN TIENE LAS BOLAS DÉ JUSTIFICAR ESTÁ INSURRECCION POPULAR POR QUE SU GOBIERNO ESTÁ  AFECTADO.,0,0,0
8.80E+17,@ARENAfraccion,RT @Escobarmarga: @ARENAfraccion pide que gobierno cumpla con ley de discapacitados y lisiados de guerra @ARENAOFICIAL #Pensiones… ,0,0,0
8.80E+17,@indignados14f,"RT @ObservadBinario: ¡Ay, Dios, cómo odio no equivocarme en esto!... No se duerman... Esto parece desencdenarse... https://t.co/9Hu8PzGyVT",0,0,0
8.80E+17,@vale21net,RT @elcitizen: Comienza la semana más complicada para el gobierno. Este luce enredado y la calle sigue golpeándolo. Mi solidaridad con los…,0,-1,1
8.80E+17,@PadillaPeinado,RT @NaTySaNcHeZr: @ElExpedienteCol Y ahora q irán a decir para justificar otra atrocidad 😡😡😡😡 Gobierno de @#€%&amp; @JuanManSantos,0,0,0
8.80E+17,@rwong10,RT @Abriendo_Brecha: Gobierno de #Honduras espera inversión de más de 700 millones de dolares a través de las  Alianzas Público-Privadas… ,1,-1,1
8.80E+17,@Mar_Umi,RT @NoticiasVenezue: Rodríguez Torres presentará pruebas que demuestran vínculos del Gobierno con narcotráfico https://t.co/rqMKPyCHZF http…,1,0,1
8.80E+17,@eneitibizer,RT @CaraotaDigital: #Consecomercio: El gobierno se dedica a imprimir billetes para cubrir los errores cometidos https://t.co/CNk5mOBkV9 htt…,0,0,0
8.80E+17,@LUISSORODRIGUEZ,RT @Larissacostas: Para evitarlo pacíficamente linchan y queman gente... https://t.co/GXCy9uDRUa,1,0,1
8.80E+17,@RuDTKD_P,RT @NTN24ve: MINUTO A MINUTO | Fuertes protestas contra el gobierno ocurren a esta hora en Maracay #26Jun https://t.co/7QGfbRZMhH,1,0,1
8.80E+17,@rufian,RT @AlbertoRT51: ÚLTIMA HORA | Los enfrentamientos en La Urbina: Esbirros del Gobierno arremeten con furia contra edificios y vehícu… ,0,-1,1
8.80E+17,@Superyela,"RT @NTN24ve: MINUTO A MINUTO | @MariaCorinaYA informa de ataque de la Policía de Aragua a urbanización San Isidro, Maracay… ",0,0,0
8.80E+17,@solmedical,"RT @shababaty: #Ecuador Codigo Penal
Quien-x cualquier medio-prolifere expresiones en descrédito,deshonra en contra de otro,será p… ",0,0,0
8.80E+17,@Sebex007,"@RCachanosky Si, pero sigue siendo correcto lo q dice el titular. El gobierno nunca se tomó la molestia de explicar… https://t.co/G4jKhAMIJw",0,0,0
8.80E+17,@golfredoe,RT @BattagliniDV: @hcapriles @NicolasMaduro Pajuo llamen a Paro Nacional. Esto es insostenible. Hay que derrocar a este gobierno YA!.… ,0,0,0
8.80E+17,@NellyMa22,"RT @ObservadBinario: ¡Ay, Dios, cómo odio no equivocarme en esto!... No se duerman... Esto parece desencdenarse... https://t.co/9Hu8PzGyVT",0,0,0
8.80E+17,@anapvizu,"RT @shababaty: #Ecuador Codigo Penal
Quien-x cualquier medio-prolifere expresiones en descrédito,deshonra en contra de otro,será p… ",0,-1,1
8.80E+17,@merche_iturbe,"EE.UU. alerta de preparativos para un ataque químico y acusa a Al Assad https://t.co/wnYmk9CLWx 
El Gobierno de EE.UU. ha alertado de que …",0,-1,1
8.80E+17,@RiobambaBot,RT @LyMalan: Inti Raymi: un ritual ancestral - Diario La Prensa Riobamba - Ecuador https://t.co/RA9HEXbgu6,1,-1,1
8.80E+17,@perlamisler,RT @SergioMassa: .@1PaisUnido con cuadros de gobierno que piensen en brindar soluciones inmediatas a los problemas de los argentinos. https…,0,-1,1
8.80E+17,@KeitCriollo,RT @whoisdav: El gobierno tiene hasta dementores. Naguará. https://t.co/Zx5VQEqQnA,1,0,1
8.80E+17,@brinova1,RT @AlbertoRT51: ÚLTIMA HORA | Los enfrentamientos en La Urbina: Esbirros del Gobierno arremeten con furia contra edificios y vehícu… ,0,0,0
8.80E+17,@renacervzla17,"RT @ObservadBinario: ¡Ay, Dios, cómo odio no equivocarme en esto!... No se duerman... Esto parece desencdenarse... https://t.co/9Hu8PzGyVT",0,0,0
8.80E+17,@masrenovador,RT @SergioMassa: .@1PaisUnido con cuadros de gobierno que piensen en brindar soluciones inmediatas a los problemas de los argentinos. https…,0,0,0
8.80E+17,@Piccirilla13,"RT @padresolalinde: Ahora está en la mira Sanjuana Martínez, amenazada de muerte. De dónde vienen las amenazas? De Sedena? Del gobierno? De…",0,0,0
8.80E+17,@EsMemorable,"El 26 de junio de 1980, en EL Salvador, La Junta Revolucionaria de Gobierno, ocupó otra vez, la Universidad de El S… https://t.co/9q6gupwnWr",0,0,0
8.80E+17,@gheisahernandez,RT @andreschola: #26Jun La gente en José Félix Ribas protesta por incumpliento en la entrega de bolsas Clap. Otro guiso de este gobierno.,1,1,0
8.80E+17,@PhasmatosIncend,RT @darwuin_darkboy: #Ecuador fallecio en accidente de transito Kevin Jesus Zarraga Briceño Venezolano🇻🇪de 24 años. El cuerpo esta en un… ,1,1,0
